Date,Open,High,Low,Close,Adj Close,Volume
2014-06-23,73.889999,74.690002,72.839996,73.430000,62.384365,1634900
2014-06-30,73.360001,74.989998,72.790001,74.610001,63.386879,1913800
2014-07-07,74.129997,74.720001,72.580002,73.550003,62.486301,1816700
2014-07-14,74.000000,75.180000,72.760002,75.099998,63.803135,2291500
2014-07-21,74.980003,75.379997,70.370003,70.930000,60.260426,3540300
2014-07-28,70.809998,71.389999,66.760002,67.680000,57.499302,3507000
2014-08-04,68.040001,69.239998,67.349998,68.690002,58.357380,2797100
2014-08-11,69.129997,69.160004,67.690002,68.199997,57.941086,1380100
2014-08-18,68.730003,70.139999,68.599998,69.239998,59.128498,1693900
2014-08-25,69.779999,70.449997,69.160004,69.919998,59.709179,1638100
2014-09-01,70.099998,71.980003,69.779999,71.040001,60.665630,1592100
2014-09-08,71.160004,71.239998,69.199997,70.760002,60.426517,2264800
2014-09-15,70.750000,73.959999,70.660004,72.599998,61.997814,3525500
2014-09-22,72.739998,72.739998,69.269997,70.010002,59.786060,3273200
2014-09-29,69.279999,69.720001,65.809998,66.059998,56.412876,2756200
2014-10-06,66.449997,66.699997,62.250000,62.250000,53.159283,2783900
2014-10-13,62.349998,63.980000,59.919998,62.939999,53.748508,3579800
2014-10-20,62.549999,65.349998,62.279999,65.099998,55.593071,3842400
2014-10-27,64.480003,67.629997,63.439999,67.480003,57.625507,4210700
2014-11-03,67.370003,67.559998,65.190002,66.930000,57.155838,3520800
2014-11-10,66.849998,67.160004,63.610001,64.419998,55.303577,3333700
2014-11-17,64.389999,64.949997,62.180000,64.720001,55.561119,3233500
2014-11-24,64.919998,65.730003,63.770000,63.939999,54.891514,1563700
2014-12-01,63.150002,65.139999,62.340000,64.199997,55.114716,2528200
2014-12-08,64.089996,64.089996,58.400002,58.439999,50.169846,2825900
2014-12-15,58.520000,59.470001,56.099998,59.169998,50.796539,5860500
2014-12-22,59.400002,61.549999,58.880001,61.150002,52.496346,2165400
2014-12-29,61.150002,62.689999,60.790001,61.439999,52.745300,1809000
2015-01-05,60.549999,60.549999,56.560001,57.090000,49.010883,4411500
2015-01-12,56.689999,56.720001,52.490002,53.209999,45.679966,4101800
2015-01-19,53.430000,54.349998,52.270000,52.619999,45.173462,2289300
2015-01-26,52.709999,53.849998,50.630001,52.369999,44.958836,2822400
2015-02-02,52.759998,54.820000,51.980000,53.770000,46.160728,2723600
2015-02-09,53.790001,55.250000,52.639999,55.139999,47.336849,3009700
2015-02-16,55.080002,58.139999,54.020000,57.750000,49.577492,4374400
2015-02-23,57.330002,58.540001,56.919998,57.009998,48.942211,3171800
2015-03-02,56.750000,58.919998,56.500000,57.730000,49.560318,3341000
2015-03-09,57.939999,59.209999,55.180000,56.299999,48.332687,4545600
2015-03-16,55.939999,60.330002,55.410000,59.490002,51.441612,5480600
2015-03-23,59.610001,61.080002,58.740002,59.270000,51.251358,2925000
2015-03-30,59.490002,61.799999,59.299999,61.389999,53.084560,2978200
2015-04-06,60.700001,61.500000,59.660000,60.020000,51.899895,2798800
2015-04-13,59.540001,60.099998,56.290001,56.680000,49.011761,3876700
2015-04-20,56.990002,64.019997,56.480000,63.139999,54.597794,6114900
